MR32 ASCII
Name	static
Frequency	200
Date	05-03-2018 14:50:31
"Time,s"	"Noraxon MyoMotion.Sync,On"	"Noraxon MyoMotion Raw.Left Thigh Accel X,"	"Noraxon MyoMotion Raw.Left Thigh Accel Y,"	"Noraxon MyoMotion Raw.Left Thigh Accel Z,"	"Noraxon MyoMotion Raw.Left Thigh Gyro X,"	"Noraxon MyoMotion Raw.Left Thigh Gyro Y,"	"Noraxon MyoMotion Raw.Left Thigh Gyro Z,"	"Noraxon MyoMotion Raw.Left Thigh Mag X,"	"Noraxon MyoMotion Raw.Left Thigh Mag Y,"	"Noraxon MyoMotion Raw.Left Thigh Mag Z,"	"Noraxon MyoMotion Raw.Left Shank Accel X,"	"Noraxon MyoMotion Raw.Left Shank Accel Y,"	"Noraxon MyoMotion Raw.Left Shank Accel Z,"	"Noraxon MyoMotion Raw.Left Shank Gyro X,"	"Noraxon MyoMotion Raw.Left Shank Gyro Y,"	"Noraxon MyoMotion Raw.Left Shank Gyro Z,"	"Noraxon MyoMotion Raw.Left Shank Mag X,"	"Noraxon MyoMotion Raw.Left Shank Mag Y,"	"Noraxon MyoMotion Raw.Left Shank Mag Z,"	"Noraxon MyoMotion Raw.Right Thigh Accel X,"	"Noraxon MyoMotion Raw.Right Thigh Accel Y,"	"Noraxon MyoMotion Raw.Right Thigh Accel Z,"	"Noraxon MyoMotion Raw.Right Thigh Gyro X,"	"Noraxon MyoMotion Raw.Right Thigh Gyro Y,"	"Noraxon MyoMotion Raw.Right Thigh Gyro Z,"	"Noraxon MyoMotion Raw.Right Thigh Mag X,"	"Noraxon MyoMotion Raw.Right Thigh Mag Y,"	"Noraxon MyoMotion Raw.Right Thigh Mag Z,"	"Noraxon MyoMotion Raw.Right Shank Accel X,"	"Noraxon MyoMotion Raw.Right Shank Accel Y,"	"Noraxon MyoMotion Raw.Right Shank Accel Z,"	"Noraxon MyoMotion Raw.Right Shank Gyro X,"	"Noraxon MyoMotion Raw.Right Shank Gyro Y,"	"Noraxon MyoMotion Raw.Right Shank Gyro Z,"	"Noraxon MyoMotion Raw.Right Shank Mag X,"	"Noraxon MyoMotion Raw.Right Shank Mag Y,"	"Noraxon MyoMotion Raw.Right Shank Mag Z,"
0.000	0	931.6	-125.5	-354.5	0.1749	0	1.137	-1.421	-0.2407	-0.3579	973.1	252.4	24.9	-0.8743	-0.4372	-0.8743	-1.427	0.1738	0.2188	946.3	97.66	-312	0.5247	-0.08745	-0.2623	-0.9839	0.2803	0.1328	992.7	-26.37	-103	0	-0.1748	-0.1749	-1.145	-0.395	0.1621
0.005	0	933.6	-122.6	-353.5	0.6995	0	0.08743	-1.42	-0.2419	-0.3696	970.7	243.6	6.347	-0.612	0.3497	-0.08741	-1.428	0.1775	0.2175	946.8	93.26	-317.9	-0.5247	-0.1748	0.612	-0.9802	0.2778	0.1301	992.2	-31.25	-102.1	-0.3498	-0.5246	-0.2623	-1.149	-0.3975	0.1526
0.010	0	927.7	-127.9	-348.6	1.049	-0.1748	0.9617	-1.419	-0.2432	-0.3814	962.9	233.4	11.72	-0.08743	0.6995	-0.8743	-1.43	0.1812	0.2163	947.8	94.73	-319.3	0.5247	0	0.3498	-0.9765	0.2754	0.1274	997.5	-26.37	-99.12	-0.4372	-0.5246	-0.3497	-1.153	-0.3999	0.1431
0.015	0	933.1	-123	-354.5	0.08739	0.4371	1.137	-1.423	-0.2397	-0.3645	976.1	252.4	5.859	-0.2623	0	0	-1.43	0.1812	0.2163	947.3	98.14	-305.2	0.4372	-0.2623	-0.08741	-0.979	0.279	0.1313	994.1	-27.83	-105.5	0	-0.08747	-0.612	-1.149	-0.3999	0.1538
0.020	0	926.3	-126	-361.3	0	-0.3498	0.08743	-1.426	-0.2363	-0.3477	969.7	241.7	16.6	0.612	-0.6995	-0.6995	-1.43	0.1812	0.2163	945.3	98.14	-311.5	0.08741	-0.2623	0.4372	-0.9814	0.2827	0.1353	999	-23.93	-96.19	-0.2622	-0.3497	-0.612	-1.145	-0.3999	0.1646
0.025	0	929.2	-124.5	-348.6	0.08739	-0.5246	0.3497	-1.426	-0.2363	-0.3477	970.2	249	10.25	-0.08743	0	-0.4371	-1.43	0.1775	0.2148	944.8	93.75	-314.9	0.6995	0.2623	0.2623	-0.9839	0.2837	0.1316	995.6	-24.41	-105	-1.311	-1.311	-0.1749	-1.145	-0.3987	0.1648
0.030	0	929.2	-123.5	-356.9	-0.08739	0.1748	0.5246	-1.426	-0.2363	-0.3477	967.8	249.5	12.7	-0.08743	0.3497	-0.5246	-1.43	0.1738	0.2134	941.9	93.75	-302.2	0	-0.4371	0.6994	-0.9863	0.2847	0.1279	992.2	-23.93	-101.1	-1.049	0.5246	-0.3497	-1.145	-0.3975	0.165
0.035	0	921.9	-127.9	-347.7	0.6995	-0.4371	0.5246	-1.426	-0.2363	-0.3489	961.9	241.2	10.25	-0.3497	-0.08741	-0.3497	-1.427	0.175	0.2119	949.2	97.66	-319.8	0	0.3497	0.1748	-0.9817	0.2859	0.1304	994.6	-18.07	-98.14	-0.8744	0.2623	-0.3497	-1.145	-0.3975	0.165
0.040	0	930.7	-125.5	-351.6	0.4372	0	0.4372	-1.426	-0.2363	-0.3501	971.2	252.9	9.277	-0.2623	-0.7869	0	-1.425	0.1763	0.2104	947.8	90.82	-315.4	0	0.3497	-0.08741	-0.9771	0.2871	0.1328	995.6	-21.48	-102.5	0.4372	-0.612	-0.08743	-1.145	-0.3975	0.165
0.045	0	931.1	-123.5	-350.1	0.4372	0.612	-0.5246	-1.424	-0.2366	-0.3672	967.3	243.2	17.09	0	-0.08741	0.3497	-1.425	0.1763	0.2104	942.9	87.4	-306.6	0.4372	-0.08745	0.5246	-0.9771	0.2874	0.1328	992.2	-23.44	-103	-0.2622	-0.2623	0	-1.148	-0.4001	0.1689
0.050	0	932.1	-124.5	-347.7	-0.08739	0.6994	0	-1.421	-0.2368	-0.3843	968.8	246.1	14.65	0.6994	-0.2623	0.3497	-1.425	0.1763	0.2104	949.7	91.8	-314.9	0.4372	0.08745	0.2623	-0.9771	0.2876	0.1328	997.1	-22.95	-103	-0.4372	-0.2623	-0.08743	-1.151	-0.4028	0.1729
0.055	0	925.3	-122.1	-351.6	0.6995	-0.2623	0.9617	-1.423	-0.2378	-0.3684	967.3	249	17.58	0.08743	0.3497	-0.2623	-1.426	0.1775	0.2146	946.3	92.29	-314	0.08741	-0.08745	-0.5246	-0.978	0.2839	0.1313	992.7	-21	-106.9	0.6994	-0.9618	0.4372	-1.149	-0.4026	0.1687
0.060	0	922.8	-125	-346.7	-0.08739	0.08745	0.08743	-1.424	-0.2388	-0.3525	964.4	239.3	11.72	0.612	-0.08741	-0.5246	-1.427	0.1787	0.2188	940.9	89.84	-316.4	0.08741	-0.1748	0.08741	-0.979	0.2803	0.1299	991.2	-21	-105.5	0.08741	-0.4372	-0.08743	-1.148	-0.4023	0.1646
0.065	0	935.6	-114.3	-351.6	-0.4372	0.3498	0.5246	-1.425	-0.2388	-0.3525	972.2	251	8.301	0.2623	0.2623	0.3497	-1.427	0.1775	0.2173	942.4	90.33	-315.9	0.8743	-0.3497	-0.612	-0.9802	0.2803	0.1287	991.7	-18.55	-105	-0.2622	-0.08747	0.08743	-1.145	-0.406	0.1633
0.070	0	923.8	-122.6	-343.3	0.4372	-0.3498	0.8743	-1.426	-0.2388	-0.3525	971.2	247.6	14.16	-0.1749	0.08741	0.5246	-1.427	0.1763	0.2158	940	91.8	-312.5	0	0.4371	0.1748	-0.9814	0.2803	0.1274	988.8	-16.6	-99.12	0	-0.08747	0.5246	-1.143	-0.4097	0.1621
0.075	0	926.3	-124.5	-352.5	-0.3497	-0.4371	0	-1.426	-0.2388	-0.3525	970.7	248	9.765	0.08743	-0.2623	0.1748	-1.427	0.1775	0.2158	940.4	87.4	-314.5	0.3497	0.08745	0	-0.9827	0.2837	0.1328	992.2	-19.53	-95.21	-0.08741	-0.1748	0	-1.143	-0.4097	0.1621
0.080	0	933.1	-119.6	-351.6	-0.7869	0.08745	0.2623	-1.426	-0.2388	-0.3525	966.8	242.2	18.07	0.5246	-0.2623	0.1748	-1.427	0.1787	0.2158	943.4	89.84	-314.5	0.1748	0.08745	-0.7869	-0.9839	0.2871	0.1382	990.2	-20.02	-102.5	0.1748	-1.311	-0.08743	-1.143	-0.4097	0.1621
0.085	0	928.2	-124.5	-347.7	-0.08739	0	0	-1.425	-0.2388	-0.3604	971.7	246.6	8.789	-0.6994	-0.1749	-0.6995	-1.427	0.1787	0.2158	946.8	90.82	-308.1	0.5247	0.8743	-0.4372	-0.9839	0.2871	0.1382	993.6	-15.14	-106.9	0	0.1748	1.049	-1.143	-0.4048	0.1648
0.090	0	933.1	-120.6	-353	-0.4372	0.2623	0.3497	-1.424	-0.2388	-0.3682	972.7	245.1	4.883	0	0	0.1748	-1.427	0.1787	0.2158	947.8	90.33	-313.5	0.08741	0	-0.3498	-0.9839	0.2871	0.1382	990.7	-22.46	-104	0.9618	-0.612	0.612	-1.143	-0.3999	0.1675
0.095	0	931.1	-119.1	-341.3	0.3497	-0.6994	0.2623	-1.426	-0.2412	-0.3618	970.7	246.6	10.74	1.486	0.2623	0.4371	-1.428	0.1763	0.2173	944.3	89.84	-317.4	0.3497	-0.2623	-0.5246	-0.9839	0.2834	0.1316	1000	-16.11	-103	0.6994	-0.1748	0.6995	-1.144	-0.4023	0.1621
0.100	0	929.7	-122.6	-356.9	0.1749	-0.6994	-0.1749	-1.429	-0.2437	-0.3555	968.3	246.6	0	-0.1749	0	-0.6995	-1.43	0.1738	0.2188	944.8	93.75	-307.6	0.1748	-0.08745	-0.7869	-0.9839	0.2798	0.125	997.1	-17.09	-105	0.7868	-0.08747	0.1749	-1.145	-0.4048	0.1567
0.105	0	925.3	-123	-345.2	-0.08739	-0.3498	0	-1.428	-0.24	-0.354	968.8	248.5	18.07	-1.399	0.8743	0	-1.428	0.1738	0.2202	943.9	97.17	-312	0.4372	0.612	-0.2623	-0.9814	0.2834	0.1262	993.2	-21.48	-104	0.612	-0.5246	0.5246	-1.147	-0.4023	0.1553
0.110	0	927.3	-122.6	-357.9	-0.3497	-0.2623	-0.08743	-1.426	-0.2363	-0.3525	965.8	248	14.65	-0.4371	-0.4372	0	-1.427	0.1738	0.2217	954.1	106	-310.1	0.2622	0.7869	-0.4372	-0.979	0.2871	0.1274	992.7	-22.46	-97.66	0	-0.612	0.2623	-1.148	-0.3999	0.1538
0.115	0	929.7	-122.1	-347.7	-0.4372	-0.3498	0.4372	-1.426	-0.2363	-0.3525	960	243.6	17.09	-0.4371	0.6995	0.6995	-1.428	0.175	0.2163	948.7	98.14	-303.7	0	0.3497	-0.08741	-0.9802	0.2813	0.1313	992.7	-25.88	-101.1	-0.6994	0	0	-1.148	-0.3999	0.1538
0.120	0	923.3	-127	-350.1	-0.5246	0.4371	0.08743	-1.426	-0.2363	-0.3525	968.3	249	11.72	-0.8743	0.7869	0	-1.429	0.1763	0.2109	948.2	101.1	-308.1	0.08741	1.049	-0.2623	-0.9814	0.2754	0.1353	994.1	-21.48	-105.5	0.3498	0.1748	0.2623	-1.148	-0.3999	0.1538
0.125	0	924.8	-122.1	-358.9	0.2623	-0.08745	-0.1749	-1.426	-0.2375	-0.3552	963.9	242.7	7.813	-0.4371	0.1749	-0.4371	-1.429	0.1763	0.2107	948.2	102.5	-311	0	0.1748	-0.7869	-0.9814	0.2754	0.1353	992.2	-25.39	-102.1	-0.4372	0.2623	0.6995	-1.145	-0.4011	0.1538
0.130	0	930.7	-123	-352.5	0	0.2623	-0.6995	-1.426	-0.2388	-0.3579	967.8	242.2	21.48	-0.4371	0.5246	0.4371	-1.429	0.1763	0.2104	946.3	99.12	-306.2	-0.1748	1.224	-0.2623	-0.9814	0.2754	0.1353	995.1	-26.37	-102.5	-0.3498	-1.224	0.08743	-1.143	-0.4023	0.1538
0.135	0	929.2	-118.2	-343.3	0	-0.5246	-0.4372	-1.428	-0.2422	-0.3567	966.3	240.2	15.14	0.1749	0.1749	0.4371	-1.43	0.175	0.2134	944.3	96.19	-309.6	-0.4372	0.612	-0.3498	-0.9827	0.2825	0.1289	990.2	-26.37	-99.12	-0.1748	0.2623	-0.3497	-1.144	-0.3987	0.1553
0.140	0	917.5	-130.9	-357.9	0.2623	-0.08745	0	-1.429	-0.2456	-0.3555	965.3	241.7	14.65	0.4371	0.1749	-0.3497	-1.432	0.1738	0.2163	944.8	95.21	-307.1	-0.7869	0	-0.1748	-0.9839	0.2896	0.1226	996.1	-19.04	-100.1	-0.08741	-0.612	-0.08743	-1.145	-0.395	0.1567
0.145	0	925.8	-120.1	-356.4	0.3497	-0.4371	-0.6995	-1.426	-0.2434	-0.3528	970.2	242.7	17.09	1.137	0.2623	-0.08741	-1.429	0.1738	0.2148	950.2	98.14	-311	0	0.612	-0.2623	-0.9851	0.2859	0.1277	989.2	-24.41	-106.4	-0.2622	-0.1748	0	-1.149	-0.3975	0.1567
0.150	0	928.7	-120.6	-350.6	0.7869	-0.08745	0.612	-1.424	-0.2412	-0.3501	968.8	245.1	10.25	0	0.3497	0.5246	-1.427	0.1738	0.2134	936	85.45	-297.9	-0.5247	0.7869	0	-0.9863	0.2822	0.1328	993.2	-21.97	-106.9	-0.1748	0.08747	0	-1.153	-0.3999	0.1567
0.155	0	924.8	-127.4	-354	1.399	-0.7869	-0.1749	-1.424	-0.2412	-0.3501	968.8	243.2	10.74	0.7869	0.4372	0	-1.425	0.175	0.2161	948.2	96.68	-312	-0.4372	1.049	-0.8743	-0.9839	0.2822	0.1301	997.5	-23.44	-100.6	-0.6994	-0.2623	0.08743	-1.15	-0.3999	0.1553
0.160	0	932.6	-114.3	-348.6	0.1749	-0.6994	-0.1749	-1.424	-0.2412	-0.3501	967.8	243.6	11.72	0.8743	0.08741	0.3497	-1.422	0.1763	0.2188	944.3	90.82	-311	0	0.2623	-0.08741	-0.9814	0.2822	0.1274	994.6	-25.88	-104	0	0.2623	0.3497	-1.148	-0.3999	0.1538
0.165	0	930.7	-119.1	-348.6	0.2623	0	-0.2623	-1.425	-0.24	-0.3435	971.2	244.6	12.7	0.3497	-0.612	-0.3497	-1.422	0.1763	0.2185	943.9	92.29	-312.5	0.08741	0.08745	-0.5246	-0.9839	0.2834	0.1262	994.6	-28.32	-106.9	-0.5246	0	-0.1749	-1.148	-0.3999	0.1538
0.170	0	936	-119.6	-347.7	-0.08739	-0.8743	-0.2623	-1.426	-0.2388	-0.3369	974.6	246.1	10.74	0.4371	0.8743	-0.08741	-1.422	0.1763	0.2183	946.8	94.73	-306.6	0.08741	0.4371	-0.2623	-0.9863	0.2847	0.125	995.1	-27.34	-105.5	-0.612	0	0.5246	-1.148	-0.3999	0.1538
0.175	0	922.8	-127.4	-349.6	0.3497	-1.049	0	-1.424	-0.2375	-0.3435	970.7	248.5	6.836	0.3497	0.3497	-0.6121	-1.427	0.175	0.2173	947.3	91.8	-305.7	0.1748	0	-0.4372	-0.9863	0.2847	0.125	998.5	-20.51	-112.3	0.4372	0	0.6995	-1.144	-0.4023	0.1482
0.180	0	934.6	-115.7	-348.6	0.8743	-0.7869	-0.2623	-1.422	-0.2363	-0.3501	968.3	249	9.277	1.137	0.2623	-0.3497	-1.432	0.1738	0.2163	946.8	92.77	-315.4	-0.1748	-0.1748	-0.4372	-0.9863	0.2847	0.125	993.2	-23.44	-107.4	0	-0.08747	0.1749	-1.141	-0.4048	0.1426
0.185	0	928.2	-117.7	-354	0.4372	-0.08745	-0.08743	-1.426	-0.2375	-0.3474	965.8	251	14.16	0	0	-0.3497	-1.431	0.175	0.2148	948.2	93.75	-303.2	0.1748	-0.1748	-0.4372	-0.9851	0.2847	0.1262	992.2	-25.88	-104.5	-0.2622	0.5246	0.2623	-1.143	-0.4048	0.1509
0.190	0	930.7	-121.6	-352.1	0.6995	0.08745	0.3497	-1.431	-0.2388	-0.3447	970.2	249	14.65	0	0.08741	0.2623	-1.43	0.1763	0.2134	944.3	93.75	-309.1	-0.5247	0	0.1748	-0.9839	0.2847	0.1274	997.5	-22.46	-110.4	0.2622	-0.08747	0	-1.145	-0.4048	0.1592
0.195	0	930.2	-120.1	-354	0.2623	0.08745	-0.4372	-1.431	-0.2388	-0.3447	971.2	251.5	11.23	0.1749	0	0	-1.428	0.1787	0.2146	945.8	93.75	-300.8	0.7869	0.612	-0.5246	-0.9827	0.2834	0.1262	989.2	-29.3	-99.12	0.1748	0	0.1749	-1.145	-0.4023	0.1592
0.200	0	929.2	-120.6	-345.2	0.4372	-0.6994	0	-1.431	-0.2388	-0.3447	968.3	248	14.16	0.6994	-0.08741	0.2623	-1.427	0.1812	0.2158	947.8	92.77	-311.5	-0.08741	-0.3497	0	-0.9814	0.2822	0.125	993.6	-26.37	-105.5	0.3498	0.3497	0	-1.145	-0.3999	0.1592
0.205	0	933.6	-115.2	-356	-0.08739	-0.08745	-0.1749	-1.431	-0.2388	-0.3486	973.6	247.1	14.16	-0.3497	-0.1749	0.5246	-1.427	0.1812	0.2158	946.3	90.82	-307.6	0.08741	0.08745	0	-0.9814	0.2847	0.116	1001	-24.41	-109.9	0.3498	0.1748	-0.4372	-1.145	-0.3999	0.1592
0.210	0	927.3	-124	-353	-0.3497	-0.2623	0	-1.431	-0.2388	-0.3525	964.4	240.2	7.813	0.3497	0.5246	0.4371	-1.427	0.1812	0.2158	949.7	99.12	-314.9	0	-0.612	-0.7869	-0.9814	0.2871	0.1069	1000	-23.44	-108.4	0.5246	-0.3497	0.2623	-1.145	-0.3999	0.1592
0.215	0	923.8	-123	-349.6	-0.2623	-0.2623	-0.2623	-1.428	-0.2354	-0.3525	971.7	246.6	13.67	0.7869	0	0.1748	-1.427	0.1799	0.2119	940.9	88.87	-313.5	0.6995	0	-0.5246	-0.9814	0.2871	0.1069	995.1	-28.32	-105	0.7868	0.2623	0	-1.147	-0.4011	0.1633
0.220	0	926.3	-123.5	-353	-0.612	-0.2623	-0.5246	-1.426	-0.2319	-0.3525	967.3	241.7	11.23	0.08743	-0.5246	0.3497	-1.427	0.1787	0.208	947.3	95.21	-304.7	0.7869	0.1748	-0.3498	-0.9814	0.2871	0.1069	994.6	-25.88	-103.5	0.612	0.4372	-0.2623	-1.148	-0.4023	0.1675
0.225	0	929.7	-115.7	-355	-0.5246	-0.1748	-0.5246	-1.426	-0.2354	-0.3513	972.7	249	19.53	-0.08743	-0.1749	0.08741	-1.427	0.1738	0.2065	945.8	97.17	-319.8	0.6995	-0.08745	0	-0.9802	0.2849	0.1172	991.7	-24.41	-104.5	0.8744	-0.1748	-0.4372	-1.151	-0.4023	0.1633
0.230	0	932.1	-117.7	-348.6	-0.08739	0.1748	0.612	-1.426	-0.2388	-0.3501	968.3	249.5	13.67	-0.08743	1.311	0.08741	-1.427	0.1689	0.2051	943.4	96.68	-305.2	0.6121	0.5246	0.612	-0.979	0.2827	0.1274	993.2	-25.39	-101.6	0.7868	0.7869	-0.5246	-1.153	-0.4023	0.1592
0.235	0	931.1	-123.5	-347.2	-0.612	0.2623	-0.4372	-1.426	-0.2388	-0.3501	972.7	247.1	13.18	-0.3497	-0.08741	0	-1.428	0.1714	0.2092	945.8	92.77	-313.5	0.4372	0.08745	0	-0.9814	0.2815	0.1274	992.2	-23.44	-107.9	0.3498	0.2623	0	-1.148	-0.4023	0.1675
0.240	0	930.7	-114.3	-346.2	-0.1749	0.3498	0.1749	-1.426	-0.2388	-0.3501	968.8	244.1	13.18	0	0.3497	0	-1.429	0.1738	0.2134	951.2	94.73	-313	1.049	-0.1748	-0.1748	-0.9839	0.2803	0.1274	994.1	-22.95	-96.19	-0.5246	-0.3497	-0.1749	-1.144	-0.4023	0.1758
0.245	0	926.8	-121.6	-348.6	-0.1749	0.1748	-0.08743	-1.425	-0.2388	-0.345	963.9	242.2	9.277	-0.3497	0	0.6121	-1.429	0.1738	0.2134	949.7	102.1	-316.4	0.7869	0.08745	-0.1748	-0.9836	0.2813	0.1145	992.7	-25.39	-101.1	0.5246	-0.4372	-0.08743	-1.144	-0.4026	0.1755
0.250	0	931.6	-118.7	-350.6	-0.3497	0.2623	-0.2623	-1.424	-0.2388	-0.3398	972.2	245.1	8.301	-0.4371	0.7869	-0.5246	-1.43	0.1738	0.2134	942.4	95.7	-301.3	0.1748	0.4371	-0.1748	-0.9834	0.2822	0.1016	996.1	-19.04	-106.9	0.2622	-0.5246	0.1749	-1.144	-0.4028	0.1753
0.255	0	931.6	-118.2	-354	0	0.1748	-0.4372	-1.426	-0.2388	-0.345	970.7	245.6	17.58	-0.2623	-0.612	0	-1.427	0.175	0.2134	951.7	104.5	-306.2	0.6995	0	-0.5246	-0.9802	0.2825	0.1157	991.7	-23.93	-104.5	0.8744	-0.1748	0	-1.146	-0.4026	0.166
0.260	0	927.3	-123.5	-357.9	0.3497	0.08745	0	-1.429	-0.2388	-0.3501	968.3	247.1	11.23	-0.4371	0.7869	0.3497	-1.425	0.1763	0.2134	949.7	101.6	-310.6	0.6121	-0.3497	-0.8743	-0.9771	0.2827	0.1299	996.1	-20.02	-100.1	0.08741	-0.4372	-1.049	-1.148	-0.4023	0.1567
0.265	0	928.7	-121.1	-348.6	-0.6995	0.1748	-0.08743	-1.428	-0.2363	-0.3501	969.2	250.5	12.7	-0.3497	-0.2623	0	-1.427	0.175	0.2134	945.8	98.63	-315.9	0.1748	0	0	-0.9771	0.2827	0.1299	989.2	-22.46	-91.8	-0.8744	-0.1748	-0.1749	-1.149	-0.4023	0.1606
0.270	0	927.3	-119.1	-350.6	-0.612	0.6994	-0.08743	-1.426	-0.2339	-0.3501	964.4	241.2	19.53	-0.8743	0.1749	0.4371	-1.429	0.1738	0.2134	946.3	101.6	-303.7	-0.3497	0.3497	0.5246	-0.9771	0.2827	0.1299	994.1	-17.58	-107.9	-0.4372	-0.4372	0	-1.151	-0.4023	0.1646
0.275	0	931.6	-120.1	-348.6	0.3497	0.08745	0	-1.426	-0.2341	-0.3501	977.5	255.9	6.347	0.08743	0.08741	0.6121	-1.423	0.1775	0.2104	941.4	99.12	-314	-0.08741	-0.2623	0.3498	-0.978	0.279	0.1326	999.5	-17.09	-106	-0.3498	0.1748	-0.3497	-1.148	-0.4023	0.1606
0.280	0	927.3	-123.5	-351.1	-0.7869	-0.3498	0.3497	-1.426	-0.2344	-0.3501	964.4	241.2	19.04	0	0.3497	0	-1.417	0.1812	0.2075	947.3	95.21	-315.9	-1.049	0.5246	0.6994	-0.979	0.2754	0.1353	1001	-19.04	-97.66	-0.6994	-0.612	0	-1.145	-0.4023	0.1567
0.285	0	932.1	-119.1	-353	-0.3497	-0.3498	-0.08743	-1.425	-0.2354	-0.354	970.7	246.6	12.7	0	0.1749	0.1748	-1.417	0.1812	0.2075	948.2	99.12	-309.6	-0.4372	-0.1748	0.08741	-0.979	0.28	0.1301	995.1	-26.37	-103.5	-0.6994	-0.08747	-0.3497	-1.145	-0.4023	0.1567
0.290	0	932.1	-124.5	-345.2	0	0	0.612	-1.424	-0.2363	-0.3579	969.7	244.1	8.301	-0.08743	0.2623	1.224	-1.417	0.1812	0.2075	950.7	97.66	-299.3	-0.8743	0	0	-0.979	0.2847	0.125	996.6	-22.95	-94.73	-0.8744	0.08747	-0.3497	-1.145	-0.4023	0.1567
0.295	0	931.1	-118.2	-354.5	0	-0.08745	-0.4372	-1.426	-0.2388	-0.3528	968.8	246.6	15.63	-0.612	-0.4372	0.08741	-1.425	0.1809	0.2104	938.5	87.4	-322.3	0.1748	-0.9617	0.8743	-0.979	0.2834	0.1238	996.1	-25.88	-106.9	-0.1748	-0.4372	-0.08743	-1.149	-0.4038	0.1553
0.300	0	933.1	-116.7	-356	0.08739	0	0.4372	-1.429	-0.2412	-0.3477	965.3	244.1	13.18	-0.08743	-0.4372	0.6995	-1.432	0.1807	0.2134	955.6	100.1	-304.2	-0.08741	0	0.7869	-0.979	0.2822	0.1226	992.2	-21	-112.3	-0.5246	-0.08747	-0.8743	-1.153	-0.4053	0.1538
0.305	0	929.2	-122.1	-354.5	-0.1749	-0.6994	0	-1.429	-0.2388	-0.3462	971.2	250	25.39	-0.4371	0.8743	0.3497	-1.43	0.176	0.2134	944.8	92.77	-309.1	-0.08741	-0.1748	1.399	-0.979	0.2825	0.1226	994.6	-19.04	-99.12	-1.661	0	-0.2623	-1.152	-0.4038	0.1565
0.310	0	922.8	-122.1	-342.8	-1.399	0.3498	0.08743	-1.429	-0.2363	-0.3447	969.2	247.6	4.883	-0.612	0.2623	0.7869	-1.429	0.1714	0.2134	943.4	92.29	-308.6	-1.137	0.2623	0.612	-0.979	0.2827	0.1226	996.6	-20.51	-104	-1.049	0.08747	0	-1.15	-0.4023	0.1592
0.315	0	929.2	-115.7	-353	-0.9618	0	-0.1749	-1.429	-0.2329	-0.3486	969.2	244.6	16.11	0.3497	-0.2623	0.08741	-1.429	0.1748	0.2107	945.8	92.29	-311	0.08741	-0.2623	0.6994	-0.9814	0.2861	0.125	998.5	-21.97	-105.5	-0.2622	-0.6995	-0.4372	-1.149	-0.3999	0.158
0.320	0	929.2	-120.1	-345.2	-0.6995	0	-0.4372	-1.429	-0.2295	-0.3525	962.9	239.3	5.371	-0.7869	0.1749	0.4371	-1.429	0.1782	0.208	942.4	84.96	-313	-0.4372	0	0.9618	-0.9839	0.2896	0.1274	991.7	-28.81	-95.21	-0.08741	0.08747	-0.1749	-1.148	-0.3975	0.1567
0.325	0	930.7	-116.7	-349.1	-1.137	-0.1748	0.4372	-1.429	-0.2295	-0.3525	965.8	242.2	12.7	-1.311	0	-0.1748	-1.429	0.1785	0.208	945.3	90.82	-308.1	-0.1748	0	1.049	-0.9839	0.2871	0.1238	997.1	-20.51	-107.4	-1.224	0	-0.08743	-1.148	-0.3975	0.1567
0.330	0	936.5	-117.2	-356	-1.574	-0.2623	0.5246	-1.429	-0.2295	-0.3525	978	246.6	12.7	-0.4371	0	0.2623	-1.429	0.1787	0.208	951.7	93.26	-322.3	-0.6121	-0.6994	0.612	-0.9839	0.2847	0.1201	994.6	-26.37	-100.6	-0.6994	-0.1748	-0.6995	-1.148	-0.3975	0.1567
0.335	0	927.7	-122.1	-350.6	-0.9618	0.3498	0.1749	-1.425	-0.2341	-0.3513	969.2	240.7	16.6	-0.2623	0	0.6121	-1.431	0.1775	0.2122	949.2	90.33	-302.7	0.5247	-0.08745	0.6994	-0.9827	0.2825	0.1277	993.6	-24.9	-109.9	0	-0.1748	-0.6995	-1.145	-0.4011	0.158
0.340	0	931.1	-115.7	-351.6	-0.08739	0.1748	0	-1.422	-0.2388	-0.3501	975.6	244.6	15.63	-0.08743	0	0.4371	-1.432	0.1763	0.2163	944.3	88.38	-311.5	0.1748	0	-0.1748	-0.9814	0.2803	0.1353	994.6	-21.48	-109.9	0.8744	-0.4372	-0.7869	-1.143	-0.4048	0.1592
0.345	0	933.1	-114.7	-352.5	-0.4372	-0.2623	-0.5246	-1.423	-0.24	-0.3474	974.6	245.1	5.859	-0.5246	0.08741	1.137	-1.431	0.1775	0.2136	947.3	91.31	-302.2	0.1748	0	0.4372	-0.9814	0.2803	0.1353	991.7	-24.9	-97.66	-0.4372	-0.3497	-0.4372	-1.144	-0.4011	0.1606
0.350	0	928.2	-115.2	-347.2	-0.7869	0.4371	-0.2623	-1.424	-0.2412	-0.3447	972.2	246.1	20.02	-0.6994	0.612	0.08741	-1.43	0.1787	0.2109	943.4	91.8	-313.5	0.08741	0.5246	0.612	-0.9814	0.2803	0.1353	997.1	-21	-106.4	-0.7868	0	-0.7869	-1.145	-0.3975	0.1621
