MR32 ASCII
Name	static
Frequency	100
Date	30-04-2018 15:00:09
"Time,s"	"Noraxon MyoMotion.Sync,On"	"Noraxon MyoMotion Raw.Left Thigh Accel X,"	"Noraxon MyoMotion Raw.Left Thigh Accel Y,"	"Noraxon MyoMotion Raw.Left Thigh Accel Z,"	"Noraxon MyoMotion Raw.Left Thigh Gyro X,"	"Noraxon MyoMotion Raw.Left Thigh Gyro Y,"	"Noraxon MyoMotion Raw.Left Thigh Gyro Z,"	"Noraxon MyoMotion Raw.Left Thigh Mag X,"	"Noraxon MyoMotion Raw.Left Thigh Mag Y,"	"Noraxon MyoMotion Raw.Left Thigh Mag Z,"	"Noraxon MyoMotion Raw.Left Shank Accel X,"	"Noraxon MyoMotion Raw.Left Shank Accel Y,"	"Noraxon MyoMotion Raw.Left Shank Accel Z,"	"Noraxon MyoMotion Raw.Left Shank Gyro X,"	"Noraxon MyoMotion Raw.Left Shank Gyro Y,"	"Noraxon MyoMotion Raw.Left Shank Gyro Z,"	"Noraxon MyoMotion Raw.Left Shank Mag X,"	"Noraxon MyoMotion Raw.Left Shank Mag Y,"	"Noraxon MyoMotion Raw.Left Shank Mag Z,"	"Noraxon MyoMotion Raw.Right Thigh Accel X,"	"Noraxon MyoMotion Raw.Right Thigh Accel Y,"	"Noraxon MyoMotion Raw.Right Thigh Accel Z,"	"Noraxon MyoMotion Raw.Right Thigh Gyro X,"	"Noraxon MyoMotion Raw.Right Thigh Gyro Y,"	"Noraxon MyoMotion Raw.Right Thigh Gyro Z,"	"Noraxon MyoMotion Raw.Right Thigh Mag X,"	"Noraxon MyoMotion Raw.Right Thigh Mag Y,"	"Noraxon MyoMotion Raw.Right Thigh Mag Z,"	"Noraxon MyoMotion Raw.Right Shank Accel X,"	"Noraxon MyoMotion Raw.Right Shank Accel Y,"	"Noraxon MyoMotion Raw.Right Shank Accel Z,"	"Noraxon MyoMotion Raw.Right Shank Gyro X,"	"Noraxon MyoMotion Raw.Right Shank Gyro Y,"	"Noraxon MyoMotion Raw.Right Shank Gyro Z,"	"Noraxon MyoMotion Raw.Right Shank Mag X,"	"Noraxon MyoMotion Raw.Right Shank Mag Y,"	"Noraxon MyoMotion Raw.Right Shank Mag Z,"
0.00	0	995.1	23.93	-122.6	0.2623	0.4372	0.08747	-1.098	-0.7891	-0.562	965.8	208	-157.7	0.2623	0.4372	0.9618	-1.352	0.624	0.3848	979.5	87.89	-198.7	0	-1.574	0.7868	-0.875	0.4394	0.1963	963.4	-197.8	-186	0.4372	0.3497	-0.5246	-1.244	-0.2637	-0.1094
0.01	0	1002	21.97	-123	0.3497	1.661	-0.08747	-1.099	-0.7856	-0.562	971.2	208	-160.6	-0.08747	-0.4372	0.1749	-1.354	0.6216	0.3899	984.9	95.22	-190.4	-0.2623	-0.9618	-0.5246	-0.8762	0.4419	0.2058	962.9	-200.2	-178.2	-0.1748	0.7869	-0.9618	-1.246	-0.2585	-0.1121
0.02	0	993.7	13.67	-122.6	-0.08752	1.224	0	-1.1	-0.7822	-0.562	967.8	209.5	-151.9	0	-0.2622	0.4372	-1.356	0.6191	0.395	983.4	89.35	-188	-0.3496	-1.137	0.4371	-0.8774	0.4443	0.2153	965.8	-190.4	-186.5	-0.1748	0.4371	-0.612	-1.249	-0.2534	-0.1147
0.03	0	991.7	15.62	-131.3	0.08752	-0.08741	-0.3497	-1.096	-0.7844	-0.5793	965.3	205.6	-159.7	0.08747	0.1748	0.6995	-1.358	0.6226	0.3872	976.6	84.47	-188	-0.6121	-1.224	0.5246	-0.8787	0.4392	0.21	966.8	-194.3	-175.8	-0.6121	0.7869	-0.6994	-1.245	-0.2559	-0.1133
0.04	0	984.9	15.14	-121.1	0.1748	1.049	-0.6995	-1.093	-0.7866	-0.5967	960.9	201.7	-151.9	-0.2623	-0.2622	1.399	-1.361	0.626	0.3794	980.9	74.71	-184.6	-0.5246	-1.749	0.9617	-0.8799	0.4341	0.2046	959.5	-197.3	-189.5	-0.3497	0.7869	-0.5246	-1.241	-0.2583	-0.1118
0.05	0	996.1	20.51	-120.6	0.2623	0.2623	0	-1.095	-0.7891	-0.574	967.8	204.1	-162.6	0.7868	-0.5246	0.5246	-1.358	0.6272	0.3889	971.2	64.94	-188	-0.3496	-0.8744	1.137	-0.8787	0.4368	0.2112	962.9	-197.8	-184.1	-0.3497	1.137	-0.5246	-1.241	-0.2595	-0.1118
0.06	0	992.7	24.9	-125	-0.4372	0.8743	-0.6995	-1.098	-0.7915	-0.5513	965.8	209	-161.1	0.08747	-0.612	-0.1749	-1.356	0.6284	0.3984	975.6	72.75	-196.3	0.6995	-1.049	0	-0.8774	0.4394	0.2178	963.4	-189.5	-177.2	0.5246	0.3497	0	-1.241	-0.2607	-0.1118
0.07	0	993.2	28.81	-116.2	-1.312	1.924	0.08747	-1.1	-0.7905	-0.5752	962.4	205.6	-158.7	0	-0.3498	0.4372	-1.356	0.626	0.4075	977.5	83.98	-196.3	0	-1.049	0.1749	-0.8787	0.4419	0.2166	962.4	-197.3	-181.6	0.4372	0.8743	-0.1749	-1.241	-0.2595	-0.116
0.08	0	992.7	25.88	-117.2	-2.71	0.8743	0.4372	-1.102	-0.7896	-0.5991	960	200.7	-152.8	-1.137	-0.2622	2.011	-1.356	0.6235	0.4165	981.9	86.91	-190.9	1.486	-0.9618	0.08736	-0.8799	0.4443	0.2153	962.4	-192.4	-171.4	1.661	0.7869	-0.7869	-1.241	-0.2583	-0.1201
0.09	0	991.7	31.74	-118.7	-3.148	1.224	0.612	-1.1	-0.7866	-0.5808	965.3	202.6	-159.7	-1.486	-1.661	0.8743	-1.356	0.6272	0.4087	979	87.4	-185.5	0.4372	-0.612	0.1749	-0.8774	0.4382	0.2166	959	-200.7	-168	0.9617	0.6995	0	-1.242	-0.2607	-0.1174
0.10	0	994.1	34.18	-124	-3.148	1.749	0.612	-1.098	-0.7837	-0.5625	960	198.2	-147	-2.623	-1.923	0.1749	-1.356	0.6309	0.4009	975.6	87.4	-194.3	0	-0.3498	0	-0.875	0.4321	0.2178	965.3	-190.9	-178.7	1.137	1.311	0	-1.244	-0.2632	-0.1147
0.11	0	996.1	30.76	-130.9	-5.421	1.836	0.5246	-1.1	-0.7842	-0.5808	959.5	197.3	-151.9	-2.798	-1.836	1.049	-1.357	0.6284	0.4009	978	86.43	-196.3	0	-1.137	0	-0.8762	0.4394	0.2178	970.7	-187.5	-180.7	0.3497	0.3497	-0.8743	-1.243	-0.2595	-0.1162
0.12	0	985.8	21.48	-121.1	-6.295	2.361	1.049	-1.102	-0.7847	-0.5991	960.9	206.1	-146	-3.672	-1.836	1.312	-1.358	0.626	0.4009	985.3	88.87	-193.4	0.5246	-1.137	0.3497	-0.8774	0.4468	0.2178	963.4	-197.8	-173.8	0.2622	1.049	-0.4371	-1.243	-0.2559	-0.1177
0.13	0	991.2	26.86	-117.2	-6.383	1.486	1.574	-1.1	-0.7829	-0.5889	962.4	207	-151.4	-4.284	-1.923	0.8743	-1.356	0.626	0.406	976.1	82.03	-198.2	1.049	-0.3498	0.5246	-0.875	0.4407	0.2205	963.9	-198.7	-171.4	-0.3497	0.6121	-0.3498	-1.245	-0.2571	-0.1133
0.14	0	986.8	21.48	-114.7	-6.995	2.098	1.661	-1.098	-0.7813	-0.5786	966.8	202.6	-157.7	-3.76	-2.536	0.4372	-1.354	0.626	0.4111	981.5	83.5	-190.4	0.3496	-0.6994	0.08736	-0.8726	0.4346	0.2231	963.9	-192.4	-162.6	0.08741	0.6121	-0.1749	-1.246	-0.2583	-0.1089
0.15	0	999	21	-110.8	-5.945	1.137	2.273	-1.099	-0.7829	-0.5903	972.7	198.2	-165	-3.672	-2.973	1.049	-1.353	0.6235	0.4087	979.5	81.06	-194.8	0.3496	0	0.5246	-0.8762	0.437	0.2219	962.9	-193.9	-181.2	0.08741	1.399	-0.612	-1.242	-0.2571	-0.1147
0.16	0	998.5	12.7	-114.7	-5.071	1.574	2.536	-1.1	-0.7847	-0.6021	973.2	202.6	-169.9	-3.322	-2.186	-0.612	-1.352	0.6211	0.4063	981.5	83.5	-191.4	0.3496	-0.2622	0.5246	-0.8799	0.4394	0.2207	968.3	-189.5	-176.3	0	1.137	-0.612	-1.238	-0.2559	-0.1206
0.17	0	996.1	11.23	-116.2	-4.109	0.9618	1.486	-1.1	-0.7808	-0.5889	966.3	195.8	-168.5	-1.924	-1.574	0	-1.353	0.6223	0.4087	986.3	86.43	-192.4	0	-0.3498	0.7868	-0.8787	0.4419	0.2219	965.8	-195.3	-184.1	0.1748	0.6121	-0.612	-1.241	-0.2598	-0.115
0.18	0	996.1	12.21	-123	-2.448	1.312	1.836	-1.1	-0.7769	-0.5757	973.2	206.5	-168.5	-1.049	-1.311	-0.8743	-1.354	0.6235	0.4111	975.6	83.5	-189.9	0	-1.049	0.2622	-0.8774	0.4443	0.2231	970.2	-190.4	-175.8	-0.6121	1.224	-0.8743	-1.244	-0.2637	-0.1094
0.19	0	990.7	7.813	-118.2	-1.224	0.7869	1.486	-1.104	-0.7771	-0.5835	967.8	208.5	-168.5	-1.224	-1.749	-1.049	-1.354	0.6211	0.4111	977.1	78.12	-192.4	0.08737	-0.4372	0.8743	-0.875	0.4431	0.219	963.4	-195.3	-168	-0.3497	0.7869	-0.4371	-1.246	-0.261	-0.1177
0.20	0	995.6	14.16	-112.3	-0.7868	0.6994	1.312	-1.109	-0.7773	-0.5913	964.4	203.6	-167.5	-0.612	-0.7868	0.1749	-1.354	0.6187	0.4111	980.9	80.08	-197.3	-0.4372	-0.7868	0.08736	-0.8726	0.4419	0.2148	962.9	-192.4	-171.9	-0.3497	0.8743	-0.9618	-1.249	-0.2583	-0.126
0.21	0	992.7	13.18	-115.7	-1.749	1.486	0.8743	-1.104	-0.7795	-0.5832	970.7	210.5	-169.9	-1.399	-0.08741	-1.137	-1.354	0.6189	0.4072	980.5	83.01	-202.1	-0.4372	-0.5246	0	-0.8704	0.4407	0.2175	963.9	-196.3	-176.8	0	1.049	-0.7869	-1.246	-0.2583	-0.1218
0.22	0	997.6	19.04	-114.3	-1.224	0.7869	0.6995	-1.1	-0.7817	-0.5752	966.3	207.5	-162.1	-1.137	-1.049	-0.3497	-1.354	0.6191	0.4033	975.6	73.24	-195.3	0.4372	-0.2622	0.612	-0.8682	0.4394	0.2202	963.9	-189.5	-167	-0.5246	1.224	-0.5246	-1.243	-0.2583	-0.1177
0.23	0	991.2	10.25	-119.1	-0.5247	1.661	0.612	-1.1	-0.7783	-0.5632	967.8	207	-163.1	-1.312	-0.612	-0.3497	-1.354	0.6238	0.4033	985.3	85.94	-195.3	0.2623	0.3498	0.3497	-0.8704	0.4431	0.2136	962.9	-192.9	-172.9	-0.4372	-0.4371	-0.612	-1.243	-0.2583	-0.1177
0.24	0	993.2	14.65	-124.5	0.2623	1.049	0.9618	-1.1	-0.7749	-0.5513	969.2	205.1	-159.7	0.1748	-0.612	-0.612	-1.354	0.6284	0.4033	981.5	88.87	-188.5	0.1749	0.3498	0	-0.8726	0.4468	0.207	967.8	-190.9	-173.8	-0.9617	0.3497	-0.6994	-1.243	-0.2583	-0.1177
0.25	0	988.8	17.09	-118.2	-0.2623	1.049	0.9618	-1.099	-0.7771	-0.5593	965.3	199.7	-162.6	-0.08747	-0.7868	-0.3497	-1.355	0.6272	0.4033	976.6	83.98	-195.8	-0.9617	0.08741	1.224	-0.8704	0.4443	0.2136	968.7	-190.9	-185.5	-1.836	0	0.08744	-1.241	-0.2571	-0.1162
0.26	0	997.1	25.39	-124	0.612	0.9618	1.836	-1.098	-0.7793	-0.5674	961.4	207	-147.9	-0.2623	-0.2622	-0.6995	-1.356	0.626	0.4033	981.5	83.01	-190.4	-1.137	0.3498	0.612	-0.8682	0.4419	0.2202	967.8	-191.9	-178.2	-1.399	0.3497	0.5246	-1.238	-0.2559	-0.1147
0.27	0	992.7	25.39	-126.5	-0.2623	1.836	0.7868	-1.098	-0.7793	-0.5713	963.9	211.9	-165	-0.9618	-1.224	0.7869	-1.357	0.6235	0.4006	978.5	81.06	-200.2	-1.399	0	0.3497	-0.8704	0.4431	0.2148	969.2	-192.4	-176.8	-0.6995	0	0.1749	-1.242	-0.2559	-0.1133
0.28	0	988.8	24.9	-113.8	-1.312	1.661	1.661	-1.098	-0.7793	-0.5752	960	200.2	-155.3	-0.612	-1.486	-0.08743	-1.358	0.6211	0.3979	977.1	76.66	-194.8	-0.7868	0.612	0.7868	-0.8726	0.4443	0.2095	964.3	-190.9	-176.3	-1.486	0.08741	-0.4371	-1.246	-0.2559	-0.1118
0.29	0	993.2	21	-118.2	-1.399	1.924	1.574	-1.099	-0.7805	-0.5767	968.8	205.6	-159.2	-1.137	-1.224	-0.3497	-1.36	0.6223	0.4019	976.1	75.19	-195.3	-1.312	0.4372	0.2622	-0.8726	0.4419	0.2148	965.8	-190.9	-177.7	-1.574	0.08741	-0.3498	-1.243	-0.2571	-0.116
0.30	0	988.3	21	-108.4	-1.574	0.9618	2.011	-1.1	-0.7817	-0.5781	971.7	203.6	-170.9	-0.8743	-1.836	-0.08743	-1.361	0.6235	0.4058	976.6	70.8	-196.8	-1.312	0.8744	1.399	-0.8726	0.4394	0.2202	966.8	-190.4	-168.9	-2.011	0.3497	-0.6994	-1.241	-0.2583	-0.1201
0.31	0	997.1	24.9	-117.2	-1.749	1.137	2.273	-1.1	-0.7783	-0.574	962.4	193.4	-152.8	-0.4372	-1.749	-1.574	-1.359	0.6223	0.4099	980.5	77.64	-187	-0.7868	0	0.08736	-0.8726	0.4407	0.2163	967.8	-190.4	-171.4	-1.224	0	0	-1.241	-0.2583	-0.1174
0.32	0	996.6	21.48	-116.7	-1.399	0.9618	2.186	-1.1	-0.7749	-0.5698	970.2	195.8	-160.2	-0.6995	-1.574	-1.312	-1.356	0.6211	0.4141	975.1	70.8	-195.8	-1.399	0.612	0.2622	-0.8726	0.4419	0.2124	968.7	-186.5	-171.4	-0.8743	-0.08741	-0.2623	-1.241	-0.2583	-0.1147
0.33	0	991.7	12.7	-118.2	0	1.661	2.973	-1.1	-0.7761	-0.5779	966.8	202.6	-168	0.4372	-1.661	-1.312	-1.358	0.6187	0.4126	979.5	78.12	-200.7	-0.8744	0.1748	-0.4371	-0.8713	0.4468	0.2136	969.7	-185.5	-169.9	-1.574	-0.3497	0.4371	-1.241	-0.2595	-0.1174
0.34	0	990.7	5.859	-108.4	0.08752	0.7869	2.361	-1.1	-0.7773	-0.5859	960	208	-168.5	0.612	-1.311	-1.661	-1.359	0.6162	0.4111	980.9	77.64	-192.4	-1.312	1.049	0.08736	-0.8701	0.4517	0.2148	974.6	-184.6	-172.4	-2.098	0.2623	0.3498	-1.241	-0.2607	-0.1201
0.35	0	992.7	16.6	-112.3	-0.5247	1.661	2.361	-1.102	-0.7783	-0.5752	958	214.8	-168.9	0.612	-1.923	-1.749	-1.358	0.6162	0.4087	976.6	70.8	-188.5	-0.6995	0.8744	0.08736	-0.8726	0.4456	0.219	965.3	-184.1	-169.9	-1.749	-0.2623	0.2623	-1.241	-0.2607	-0.1201
0.36	0	993.7	25.39	-114.7	-0.9616	1.224	3.06	-1.105	-0.7793	-0.5645	959.5	203.6	-163.1	-1.224	-1.749	-1.049	-1.356	0.6162	0.4063	977.1	74.22	-189	-0.08737	1.137	-0.08736	-0.875	0.4394	0.2231	965.8	-194.3	-167.5	-0.7869	-0.3497	0.1749	-1.241	-0.2607	-0.1201
0.37	0	989.3	22.95	-106.9	-2.186	1.574	2.623	-1.105	-0.7761	-0.571	962.9	201.7	-160.6	-1.399	-1.923	-1.224	-1.358	0.6187	0.4102	978	68.85	-194.3	-0.3496	1.311	-0.2622	-0.8716	0.4419	0.219	968.3	-192.9	-172.9	-0.6121	0.5246	-0.2623	-1.242	-0.2607	-0.1147
0.38	0	995.6	32.72	-106.9	-2.798	1.312	3.76	-1.104	-0.773	-0.5776	966.3	201.2	-164.1	-1.749	-2.623	-1.486	-1.359	0.6211	0.4141	980	76.17	-186	-0.08737	0.7868	-0.612	-0.8682	0.4443	0.2148	968.7	-194.3	-180.2	-0.6995	-0.08741	-0.4371	-1.244	-0.2607	-0.1094
0.39	0	1004	30.76	-108.9	-1.749	0.7869	3.41	-1.102	-0.7737	-0.5779	962.9	202.1	-159.2	-1.661	-3.06	-2.186	-1.359	0.6208	0.4116	979	75.19	-183.6	-0.08737	0.6994	-0.4371	-0.8704	0.4468	0.2136	962.4	-189.9	-173.8	0	-0.08741	0	-1.241	-0.2595	-0.1162
0.40	0	993.2	14.65	-118.2	-2.273	1.312	3.235	-1.1	-0.7744	-0.5781	965.8	203.6	-159.7	-2.011	-3.06	-2.098	-1.359	0.6206	0.4092	980.5	76.17	-189.9	-0.2623	0.612	-0.7868	-0.8726	0.4492	0.2124	971.7	-183.1	-177.7	0.1748	0	-0.4371	-1.238	-0.2583	-0.123
0.41	0	993.2	18.55	-119.6	-3.148	1.399	3.497	-1.101	-0.7725	-0.5779	964.4	205.1	-159.7	-1.924	-3.06	-1.923	-1.361	0.6172	0.4143	979.5	78.12	-174.8	0.6121	0.6994	-0.9617	-0.8728	0.4431	0.2175	967.8	-193.4	-179.2	0.6995	-0.1748	0.5246	-1.241	-0.2583	-0.123
0.42	0	993.2	13.67	-111.8	-1.749	0.9618	4.022	-1.102	-0.7705	-0.5776	960.9	204.6	-166.5	-1.049	-3.235	-2.798	-1.363	0.6138	0.4194	980.5	73.24	-193.8	0.6121	0.8744	-0.9617	-0.8731	0.437	0.2227	966.8	-192.9	-183.6	0.4372	0.2623	0.3498	-1.243	-0.2583	-0.123
0.43	0	996.6	2.93	-121.6	-2.361	1.924	4.284	-1.103	-0.7703	-0.5818	963.9	209.5	-157.2	-0.9618	-3.322	-1.486	-1.359	0.6125	0.4155	984.9	74.71	-184.1	0.7868	1.224	-1.137	-0.8728	0.4382	0.2202	973.2	-189.9	-177.7	1.749	1.311	0.7869	-1.246	-0.2595	-0.1216
0.44	0	997.1	-0.4882	-117.2	-0.9616	1.836	3.41	-1.104	-0.77	-0.5859	963.4	203.6	-169.9	0.08747	-3.06	-1.749	-1.354	0.6113	0.4116	979.5	74.71	-189	0.5246	1.486	-1.486	-0.8726	0.4394	0.2178	965.3	-192.9	-176.3	0.9617	1.137	0.1749	-1.249	-0.2607	-0.1201
0.45	0	1005	10.25	-129.4	-1.224	1.224	2.973	-1.104	-0.769	-0.5845	973.2	208	-154.3	0.1748	-3.322	-2.273	-1.359	0.615	0.4182	973.6	72.27	-180.2	0.9617	-0.08741	-1.574	-0.8726	0.4431	0.2163	967.8	-183.6	-181.6	1.224	0.1748	0.9618	-1.245	-0.2593	-0.123
0.46	0	1006	4.883	-126	-0.2623	1.924	3.76	-1.104	-0.7681	-0.583	968.3	218.8	-165.5	-0.1748	-3.322	-2.098	-1.363	0.6187	0.4248	978	79.1	-183.6	0.4372	0.612	-1.574	-0.8726	0.4468	0.2148	967.3	-178.2	-166	0.9617	0.7869	0.9618	-1.241	-0.2578	-0.126
0.47	0	999	0.9764	-129.4	-0.1748	2.71	2.361	-1.107	-0.7669	-0.5845	968.3	225.1	-154.8	0.3497	-2.623	-1.836	-1.36	0.6128	0.4221	973.1	76.17	-178.2	1.049	-0.4372	-1.749	-0.8713	0.4394	0.2002	974.1	-175.3	-163.1	0.3497	-0.6995	1.224	-1.238	-0.2578	-0.1313
0.48	0	993.2	1.953	-122.1	0	2.186	2.186	-1.109	-0.7656	-0.5859	963.9	210.5	-181.2	0.4372	-3.934	-1.749	-1.356	0.6069	0.4194	969.2	83.5	-186	-0.3496	-0.9618	-1.749	-0.8701	0.4321	0.1855	959.5	-199.7	-181.2	-1.312	-0.2623	2.448	-1.236	-0.2578	-0.1367
0.49	0	997.1	-7.325	-111.8	2.361	2.448	1.049	-1.107	-0.7666	-0.5859	959	208.5	-174.3	2.798	-2.448	0.1749	-1.359	0.6091	0.4233	973.1	86.91	-185.1	-0.8744	-0.3498	-1.661	-0.8701	0.4358	0.2004	960.9	-200.7	-172.9	-1.486	0.3497	1.486	-1.238	-0.2566	-0.1287
0.50	0	999.5	-9.766	-109.4	2.623	2.361	1.137	-1.104	-0.7676	-0.5859	968.3	213.4	-178.7	2.885	-3.235	-0.3497	-1.361	0.6113	0.4272	975.1	93.75	-181.6	-1.399	-1.137	-1.224	-0.8701	0.4394	0.2153	963.4	-198.2	-182.6	-1.049	0.7869	1.399	-1.241	-0.2554	-0.1206
0.51	0	1006	1.953	-109.4	2.623	2.361	1.399	-1.104	-0.7666	-0.5859	973.2	221.2	-178.7	3.847	-3.148	-1.049	-1.359	0.6138	0.4246	970.7	87.4	-180.7	-1.224	-1.137	-1.399	-0.8738	0.4404	0.2061	963.9	-194.8	-176.8	-1.836	0.4371	1.749	-1.239	-0.2581	-0.1218
0.52	0	997.1	6.836	-101.6	3.585	2.535	1.049	-1.104	-0.7656	-0.5859	968.3	220.2	-186.5	3.148	-1.749	-0.6995	-1.356	0.6162	0.4219	978.5	87.89	-184.1	-1.923	-1.836	-0.4371	-0.8774	0.4414	0.1968	959.5	-197.8	-177.7	-0.7869	0.9618	0.9618	-1.238	-0.2607	-0.123
0.53	0	991.7	3.906	-111.8	2.623	2.885	1.486	-1.103	-0.7676	-0.5825	956.5	222.7	-172.9	3.322	-1.224	-0.5246	-1.359	0.6138	0.4219	977.5	78.12	-182.1	-2.448	-2.273	-0.612	-0.875	0.4404	0.2087	965.8	-198.7	-186.5	-1.312	1.486	1.661	-1.238	-0.2581	-0.123
0.54	0	998	6.836	-112.8	1.924	2.011	0	-1.102	-0.7695	-0.5791	962.9	221.2	-190.9	2.361	-2.098	0.5246	-1.361	0.6113	0.4219	977.1	65.92	-189	-1.399	-2.623	-0.2622	-0.8726	0.4394	0.2207	969.2	-189.5	-190.4	-0.4372	1.836	1.749	-1.238	-0.2554	-0.123
0.55	0	1000	4.395	-106	2.623	1.924	0.08747	-1.098	-0.7671	-0.5793	964.8	213.4	-167.5	1.749	-2.273	0.4372	-1.36	0.6162	0.4233	977.1	55.17	-192.9	-0.6995	-1.923	-2.011	-0.8738	0.4407	0.2178	964.9	-201.2	-182.6	1.312	1.486	0.4371	-1.238	-0.2554	-0.1423
0.56	0	989.8	0	-117.7	1.924	2.186	0.1748	-1.095	-0.7647	-0.5796	969.2	212.9	-169.9	1.836	-1.399	-0.612	-1.358	0.6211	0.4248	973.1	48.34	-193.4	2.011	-2.623	-1.924	-0.875	0.4419	0.2148	958.5	-195.8	-175.3	2.885	2.186	1.486	-1.238	-0.2554	-0.1616
0.57	0	1005	11.72	-114.7	2.448	3.147	-0.2623	-1.096	-0.7669	-0.5793	964.8	203.6	-170.4	2.536	-2.186	1.049	-1.361	0.6199	0.4233	978	67.87	-195.3	3.847	-2.098	-3.934	-0.874	0.4368	0.2163	970.7	-182.6	-172.9	4.022	0.4371	1.836	-1.236	-0.2542	-0.1396
0.58	0	990.7	6.347	-111.3	2.623	2.885	0.08747	-1.097	-0.769	-0.5791	966.8	215.8	-165.5	2.885	-1.749	0.3497	-1.363	0.6187	0.4219	969.7	77.64	-188.5	3.76	-3.235	-3.672	-0.8731	0.4316	0.2178	974.1	-177.7	-175.3	3.585	-0.1748	2.361	-1.233	-0.2529	-0.1177
0.59	0	993.2	13.67	-102.5	2.885	3.147	-0.2623	-1.099	-0.7681	-0.5803	965.3	211.4	-171.4	3.76	-2.186	0.3497	-1.361	0.6187	0.426	980	90.82	-196.8	3.235	-2.536	-3.934	-0.874	0.4343	0.2166	966.8	-188	-168	3.585	-0.3497	2.011	-1.237	-0.2566	-0.1343
0.60	0	992.2	16.11	-104	2.536	2.273	0.3497	-1.101	-0.7671	-0.5816	957.5	209	-170.9	3.585	-2.011	-0.08743	-1.359	0.6187	0.4302	985.3	92.77	-199.2	3.147	-3.41	-3.585	-0.875	0.437	0.2153	965.8	-197.8	-170.4	2.973	-0.3497	1.399	-1.241	-0.2603	-0.1509
0.61	0	991.7	12.7	-99.12	1.836	3.06	1.312	-1.099	-0.7705	-0.5803	960	206.5	-172.9	2.536	-1.923	-0.1749	-1.359	0.6174	0.4287	980.5	93.26	-200.7	3.585	-3.06	-4.459	-0.8716	0.4358	0.2178	960.9	-195.3	-164.1	2.71	-0.1748	2.536	-1.239	-0.2578	-0.1355
0.62	0	998	12.21	-95.7	2.186	2.535	1.224	-1.097	-0.7739	-0.5791	964.4	206.5	-180.2	3.672	-2.973	0	-1.359	0.6162	0.4272	972.2	98.14	-194.3	3.235	-1.749	-2.71	-0.8682	0.4346	0.2202	967.3	-196.3	-164.6	2.798	-0.4371	2.186	-1.238	-0.2554	-0.1201
0.63	0	993.7	6.347	-105	2.536	1.924	0.9618	-1.095	-0.7681	-0.5818	960.9	206.1	-166	2.623	-2.361	-1.049	-1.36	0.615	0.4246	980	91.31	-185.5	1.749	-3.322	-2.273	-0.8716	0.4346	0.219	967.8	-204.1	-176.8	1.486	-0.3497	1.574	-1.237	-0.2566	-0.1243
0.64	0	991.7	6.347	-104	2.623	3.41	0.9618	-1.094	-0.7622	-0.5845	960.9	209	-180.2	3.41	-2.273	-0.6995	-1.361	0.6138	0.4219	985.3	86.43	-203.6	2.448	-3.585	-2.448	-0.875	0.4346	0.2178	960.5	-212.4	-182.1	2.361	-0.2623	2.186	-1.236	-0.2578	-0.1284
0.65	0	989.8	-2.93	-103	2.361	3.06	1.224	-1.094	-0.7669	-0.5818	961.4	212.9	-185.5	4.022	-2.885	0.5246	-1.361	0.6162	0.4219	975.6	81.54	-198.2	3.847	-3.41	-1.661	-0.875	0.4334	0.2178	966.3	-217.3	-187.5	3.76	0.4371	1.224	-1.239	-0.2568	-0.1257
0.66	0	992.7	4.395	-94.24	2.798	2.011	0.8743	-1.094	-0.7715	-0.5791	958.5	210	-181.2	3.497	-2.536	-0.7869	-1.361	0.6187	0.4219	979	79.59	-192.4	4.197	-3.934	-2.535	-0.875	0.4321	0.2178	956.6	-212.9	-177.7	5.246	1.574	0.4371	-1.243	-0.2559	-0.123
0.67	0	990.7	2.442	-103.5	3.497	2.448	0.4372	-1.095	-0.7705	-0.583	963.4	216.8	-188	3.585	-1.923	-0.612	-1.36	0.6162	0.426	979	91.31	-210.9	5.158	-3.148	-2.798	-0.8738	0.437	0.2178	965.3	-198.7	-173.8	5.158	0.7869	1.049	-1.243	-0.2544	-0.1284
0.68	0	993.7	6.836	-104	3.148	1.661	0.6995	-1.096	-0.7695	-0.5869	962.4	223.1	-166.5	3.497	-1.049	0	-1.359	0.6138	0.4302	980	103	-204.6	4.809	-3.934	-2.361	-0.8726	0.4419	0.2178	968.3	-192.9	-163.1	4.721	1.574	0.2623	-1.243	-0.2529	-0.1338
0.69	0	995.6	5.859	-111.3	3.672	1.574	0	-1.095	-0.7705	-0.5816	956.5	209.5	-183.6	3.41	-1.749	-0.1749	-1.362	0.6162	0.426	974.1	98.14	-209	3.847	-2.973	-2.361	-0.875	0.4382	0.2178	964.9	-188.5	-150.9	3.76	0.6995	1.049	-1.243	-0.2517	-0.127
0.70	0	991.2	-2.442	-97.17	3.235	2.361	0.2623	-1.094	-0.7715	-0.5762	964.4	215.8	-175.8	2.798	-1.137	0.08743	-1.366	0.6187	0.4219	970.7	95.7	-209.5	1.836	-3.148	-1.749	-0.8774	0.4346	0.2178	963.9	-194.8	-159.2	2.011	1.486	0.7869	-1.243	-0.2505	-0.1201
0.71	0	989.8	-7.325	-97.66	4.459	1.486	0.4372	-1.094	-0.7717	-0.5747	960.9	212.9	-183.1	3.76	-1.311	0.612	-1.364	0.6174	0.4233	980	99.12	-220.7	1.312	-2.623	-2.273	-0.8726	0.4382	0.2136	966.3	-198.2	-150.4	2.448	0.8743	0.6994	-1.239	-0.2493	-0.1091
